Date,pricebitcoin,marketbitcoin,priceethereum,marketethereum,pricelitecoin,marketlitecoin
2/19/2019,3947.09,69262673238,145.35,15250901019,47.86,2897971715
2/18/2019,3915.71,68704389994,146.1,15327852479,48.04,2908055843
2/17/2019,3673.84,64453368779,133.6,14014695490,43.93,2658324155
2/16/2019,3629.79,63673369195,123.26,12928550184,43.59,2637500546
2/15/2019,3620.81,63509111125,122.1,12805280766,42.7,2582708735
2/14/2019,3616.88,63434486052,121.39,12729213675,41.64,2518031066
2/13/2019,3632.07,63694394519,122.55,12849605819,42,2539018995
2/12/2019,3653.53,64063755250,122.57,12849965122,43.93,2655115121
2/11/2019,3648.43,63968390250,121.3,12714795026,43.18,2609389133
2/10/2019,3690.19,64694025951,124.81,13080881910,46.83,2828937241
2/9/2019,3671.2,64354732475,119.43,12515870173,44.79,2705200909
2/8/2019,3666.78,64270269953,119.27,12496945336,43.46,2624516069
2/7/2019,3399.47,59578075991,104.54,10951652648,33.22,2005595915
2/6/2019,3413.77,59821158612,104.92,10990266833,32.93,1987640111
2/5/2019,3466.36,60735563490,107.44,11253035388,34.26,2067028132
2/4/2019,3459.15,60603083461,107.82,11290969364,34.11,2057598930
2/3/2019,3464.01,60681847608,107.49,11254870706,33.44,2016740848
2/2/2019,3521.06,61675119055,110.43,11560765573,34.39,2073872814
2/1/2019,3487.95,61088747491,107.61,11263815610,32.83,1978856939
1/31/2019,3457.79,60553903928,107.06,11204735502,31.65,1907587556
1/30/2019,3486.18,61044262622,108.91,11396282341,31.93,1923945742
1/29/2019,3448.12,60371874099,105.6,11048347342,31.1,1873246050
1/28/2019,3470.45,60756570314,106.59,11150461958,31.2,1878928921
1/27/2019,3583.97,62737274093,113.41,11861671822,32.59,1962484749
1/26/2019,3602.46,63054898963,116.49,12182338148,33.15,1995530698
1/25/2019,3599.77,63000985908,116.38,12168932300,32.98,1984872676
1/24/2019,3600.87,63014066012,117.36,12269992351,32.78,1971999182
1/23/2019,3585.12,62731361272,117.45,12277481872,32,1924964952
1/22/2019,3604.58,63065139424,118.75,12410972241,31.68,1905392084
1/21/2019,3576.03,62559869612,117.16,12242940197,31.21,1876573922
1/20/2019,3601.01,62990143284,119.47,12483136112,31.18,1873953844
1/19/2019,3728.57,65214103659,124.52,13007954846,32.55,1956101651
1/18/2019,3657.84,63970991867,121.01,12639234713,31.31,1881176121
1/17/2019,3678.56,64327048255,123.74,12922347330,31.89,1915371847
1/16/2019,3655.01,63909348776,123.55,12899812275,31.82,1910976281
1/15/2019,3630.68,63477817959,122.03,12739543688,31.51,1891520613
1/14/2019,3706.05,64789619995,129.07,13471754802,32.36,1942198294
1/13/2019,3552.95,62106461671,116.9,12199288487,30.33,1820214944
1/12/2019,3661.3,63994140882,125.97,13143426380,32.38,1942860854
1/11/2019,3687.37,64443301117,127.55,13306214134,32.33,1938944919
1/10/2019,3678.92,64288932886,128.63,13416263931,33.87,2030671878
1/9/2019,4035.3,70508733459,150.8,15726845712,38.99,2337068756
1/8/2019,4030.85,70422743854,150.36,15677889902,39.48,2366141319
1/7/2019,4025.25,70316305580,151.7,15814868678,37.81,2265284886
1/6/2019,4076.63,71206795853,157.75,16442429109,39.3,2354185201
1/5/2019,3845.19,67157570935,155.64,16219974745,34.94,2092365506
1/4/2019,3857.72,67368333500,154.58,16107068093,32.4,1940204515
1/3/2019,3836.74,66994920903,149.14,15536849936,32.03,1917129494
1/2/2019,3943.41,68849856732,155.05,16150049902,33.43,2000859669
1/1/2019,3843.52,67098634181,140.82,14665318370,31.98,1913387274
12/31/2018,3742.7,65331499158,133.37,13886837730,30.47,1822504811
12/30/2018,3865.95,67475512827,139.86,14560066114,31.98,1912263648
12/29/2018,3820.41,66672244158,138.02,14365797196,31.57,1887178390
12/28/2018,3923.92,68471837969,137.65,14324511544,32.51,1943259589
12/27/2018,3654.83,63768757101,116.58,12129493222,28.29,1690851757
12/26/2018,3857.3,67292819465,131.87,13717858346,30.99,1851236647
12/25/2018,3815.49,66556033172,129.84,13505089290,31.13,1859663792
12/24/2018,4078.6,71137548589,140.24,14583457940,33.2,1982394885
12/23/2018,3998.98,69741217417,130.77,13595887732,33.46,1997631552
12/22/2018,4014.18,69997508295,116.76,12137481655,31.86,1901410380
12/21/2018,3896.54,67937650255,109.5,11380357569,30.8,1837728497
